,AWC_cm.per.cm.,Sand_Percent,Silt_Percent,Clay_Percent,Moist.BD_g.per.cm3.,OM_Percent
819,0.17,35,35,30,1.36,2.5
820,0.17,35,35,30,1.36,2.5
821,0.17,35,35,30,1.36,2.5
822,0.15,45,33,22,1.48,3.9
823,0.15,45,33,22,1.48,3.9
824,0.13,70,20,10,1.54,0.8
825,0.16,34,45,21,1.41,2.2
826,0.15,34,45,21,1.35,1.2
827,0.16,39,31,30,1.4,2.4
828,0.16,31,37,33,1.45,1.5
829,0.16,31,37,33,1.45,1.5
830,0.19,24,44,32,1.11,2.5
831,0.19,24,44,32,1.11,2.5
832,0.14,8,29,63,1.2,3.1
833,0.16,39,33,29,1.36,2.8
834,0.19,43,29,28,1.5,2.5
835,0.17,38,33,29,1.54,1.5
836,0.17,38,33,29,1.54,1.5
837,0.12,36,34,30,1.5,0.3
838,0.13,51,30,19,1.43,2.5
839,0.17,49,31,20,1.43,2.5
840,0.17,49,31,20,1.43,2.5
841,0.18,43,29,28,1.5,2.5
842,0.13,51,30,19,1.43,0.9
843,0.17,35,37,28,1.45,2.5
844,0.17,35,37,28,1.45,2.5
845,0.16,20,34,46,1.16,2.4
846,0.17,33,32,35,1.38,2.5
847,0.17,39,37,24,1.35,1.5
848,0.15,42,38,20,1.43,2
849,0.13,34,35,31,1.54,2.8
850,0.13,34,35,31,1.54,2.8
851,0.13,34,35,31,1.54,2.8
852,0.15,40,38,23,1.43,0.8
853,0.15,40,38,23,1.43,0.8
854,0.19,24,44,32,1.11,2.5
855,0.19,24,44,32,1.11,2.5
856,0.14,8,29,63,1.2,3.1
857,0.15,35,34,31,1.38,2.4
859,0.14,68,16,16,1.45,0.9
860,0.14,68,16,16,1.45,0.9
861,0.14,68,16,16,1.45,0.9
862,0.13,51,30,19,1.43,2.5
863,0.17,49,31,20,1.43,2.5
864,0.13,85,6,9,1.45,0.6
865,0.14,68,15,17,1.4,0.8
866,0.09,86,7,8,1.55,0.6
867,0.15,67,18,15,1.48,0.9
868,0.15,67,18,15,1.48,0.9
869,0.13,65,20,15,1.45,1.4
870,0.13,67,17,16,1.45,0.9
871,0.13,67,17,16,1.45,0.9
873,0.13,51,30,19,1.43,0.9
874,0.13,51,30,19,1.43,0.9
875,0.13,51,30,19,1.43,0.9
876,0.17,33,32,35,1.38,2.5
877,0.12,65,17,18,1.54,1.5
878,0.12,65,17,18,1.46,1.5
879,0.12,68,16,16,1.5,0.6
880,0.12,65,17,18,1.46,1.5
881,0.13,65,20,15,1.5,1.5
882,0.11,48,30,22,1.46,2
883,0.11,48,30,22,1.46,2
884,0.11,48,30,22,1.46,2
885,0.17,49,31,20,1.43,2.5
886,0.18,37,35,29,1.35,1.5
887,0.13,65,20,15,1.45,0.6
888,0.13,65,20,15,1.45,0.6
889,0.15,50,31,20,1.4,2.1
890,0.15,50,31,20,1.4,2.1
891,0.07,85,7,8,1.53,0.5
892,0.12,38,36,27,1.48,0.8
893,0.14,8,29,63,1.2,3.1
894,0.14,68,16,16,1.45,0.9
895,0.13,65,20,15,1.48,0.8
896,0.08,84,7,10,1.53,0.8
897,0.16,66,16,18,1.42,2.8
898,0.07,95,1,4,1.52,0.4
899,0.12,65,17,18,1.54,1.5
900,0.12,65,17,18,1.54,1.5
901,0.14,48,32,20,1.48,2.2
902,0.14,48,32,20,1.48,2.2
903,0.13,51,30,19,1.43,2.5
904,0.17,49,31,20,1.43,2.5
905,0.14,68,16,16,1.45,0.9
906,0.14,68,16,16,1.45,0.9
907,0.14,68,16,16,1.45,0.9
908,0.2,48,31,21,1.4,0.9
909,0.1,45,33,22,1.58,0.2
910,0.16,14,31,55,1.34,2.8
911,0.13,51,30,19,1.43,0.9
912,0.13,51,30,19,1.43,2.5
913,0.17,50,31,19,1.38,2.5
914,0.17,33,32,35,1.38,2.5
915,0.12,68,16,16,1.5,0.6
916,0.12,68,16,16,1.5,0.6
917,0.13,34,35,31,1.54,2.8
918,0.1,88,4,8,1.48,0.8
919,0.13,85,6,9,1.45,0.6
920,0.16,50,32,18,1.46,2.1
921,0.16,50,32,18,1.46,2.1
922,0.15,50,31,20,1.4,2.1
923,0.15,50,31,20,1.4,2.1
924,0.13,66,17,17,1.48,0.7
925,0.13,66,17,17,1.48,0.7
926,0.16,20,25,55,1.16,2.6
927,0.13,76,14,11,1.52,0.5
928,0.16,18,31,51,1.21,2.2
929,0.14,66,16,18,1.61,1
930,0.1,88,5,7,1.61,0.3
931,0.14,48,32,20,1.48,2.2
932,0.13,51,30,19,1.43,2.5
933,0.17,49,31,20,1.43,2.5
934,0.14,68,16,16,1.45,0.9
935,0.14,68,16,16,1.45,0.9
936,0.13,85,4,11,1.48,0.5
937,0.15,67,18,15,1.48,0.9
938,0.15,67,18,15,1.48,0.9
941,0.1,45,33,22,1.58,0.2
942,0.13,51,30,19,1.43,0.9
943,0.13,77,8,16,1.54,0.5
944,0.15,54,10,36,1.04,2.5
945,0.12,68,16,16,1.5,0.6
946,0.12,68,16,16,1.5,0.6
947,0.12,68,16,16,1.5,0.6
948,0.13,66,17,17,1.48,0.7
949,0.12,68,16,16,1.5,0.6
950,0.15,45,33,22,1.28,3.9
951,0.13,66,17,17,1.48,0.7
952,0.1,88,4,8,1.48,0.8
953,0.13,85,6,9,1.45,0.6
954,0.16,50,32,18,1.46,2.1
955,0.15,50,31,20,1.4,2.1
956,0.13,66,17,17,1.48,0.7
957,0.13,66,17,17,1.48,0.7
958,0.13,76,14,11,1.52,0.5
959,0.11,73,10,17,1.45,0.7
960,0.16,18,31,51,1.21,2.2
961,0.14,66,16,18,1.61,1
962,0.1,88,5,7,1.61,0.3
963,0.12,65,17,18,1.54,1.5
964,0.14,68,16,16,1.45,0.9
965,0.14,68,16,16,1.45,0.9
966,0.13,85,6,9,1.45,0.6
967,0.15,42,38,20,1.45,0.9
968,0.15,67,18,15,1.48,0.9
969,0.15,67,18,15,1.48,0.9
970,0.11,73,10,17,1.45,0.7
971,0.14,50,29,21,1.52,0.9
972,0.15,45,33,22,1.48,3.9
975,0.1,88,4,8,1.48,0.8
976,0.13,51,30,19,1.43,0.9
977,0.13,51,30,19,1.43,0.9
978,0.07,95,1,4,1.6,0.4
979,0.07,85,7,8,1.53,0.5
980,0.14,44,37,19,1.4,2.9
981,0.16,33,32,35,1.3,2
982,0.13,65,20,15,1.45,0.6
983,0.13,65,20,15,1.45,0.6
984,0.15,50,31,20,1.4,2.1
985,0.18,43,29,28,1.5,2.5
986,0.15,39,30,31,1.55,2.1
987,0.13,63,19,18,1.5,0.6
988,0.08,86,7,8,1.5,1.3
989,0.08,86,7,8,1.5,1.3
990,0.13,85,4,11,1.48,0.5
991,0.17,50,31,19,1.38,2.5
992,0.07,95,1,4,1.52,0.4
993,0.15,45,33,22,1.48,3.9
994,0.12,65,17,18,1.54,1.5
995,0.11,67,20,13,1.45,1.3
996,0.17,40,38,23,1.4,1.5
997,0.13,66,20,14,1.45,0.8
998,0.13,66,20,14,1.53,0.9
999,0.08,86,7,8,1.45,0.8
1000,0.06,92,1,7,1.63,1.3
